subject,region,grade_class,year,grade,degree_type
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2011,350,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2011,55,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2011,83,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2012,340,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2012,50,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2012,75,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2013,340,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2013,49,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2013,74,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2014,330,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2014,45,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2014,68,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2015,330,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2015,45,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2015,68,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2016,325,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2016,45,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2016,68,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2017,335,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2017,46,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2017,69,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2018,330,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2018,44,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2018,66,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2019,345,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2019,49,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2019,74,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2011,340,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2011,53,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2011,80,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2012,330,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2012,47,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2012,71,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2013,330,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2013,46,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2013,69,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2014,320,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2014,42,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2014,63,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2015,320,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2015,42,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2015,63,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2016,315,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2016,42,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2016,63,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2017,325,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2017,43,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2017,65,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2018,320,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2018,41,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2018,62,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,总分,2019,335,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科=100分,2019,46,专硕
金融、应用统计、税务、国际商务、保险、资产评估,B类,单科>100分,2019,69,专硕
审计,A类,总分,2012,150,专硕
审计,A类,单科=100分,2012,41,专硕
审计,A类,单科>100分,2012,82,专硕
审计,A类,总分,2013,155,专硕
审计,A类,单科=100分,2013,41,专硕
审计,A类,单科>100分,2013,82,专硕
审计,A类,总分,2014,160,专硕
审计,A类,单科=100分,2014,41,专硕
审计,A类,单科>100分,2014,82,专硕
审计,A类,总分,2015,160,专硕
审计,A类,单科=100分,2015,40,专硕
审计,A类,单科>100分,2015,80,专硕
审计,A类,总分,2016,165,专硕
审计,A类,单科=100分,2016,39,专硕
审计,A类,单科>100分,2016,78,专硕
审计,A类,总分,2017,170,专硕
审计,A类,单科=100分,2017,42,专硕
审计,A类,单科>100分,2017,84,专硕
审计,A类,总分,2018,165,专硕
审计,A类,单科=100分,2018,42,专硕
审计,A类,单科>100分,2018,84,专硕
审计,A类,总分,2019,170,专硕
审计,A类,单科=100分,2019,42,专硕
审计,A类,单科>100分,2019,84,专硕
审计,B类,总分,2012,140,专硕
审计,B类,单科=100分,2012,36,专硕
审计,B类,单科>100分,2012,72,专硕
审计,B类,总分,2013,145,专硕
审计,B类,单科=100分,2013,36,专硕
审计,B类,单科>100分,2013,72,专硕
审计,B类,总分,2014,150,专硕
审计,B类,单科=100分,2014,36,专硕
审计,B类,单科>100分,2014,72,专硕
审计,B类,总分,2015,150,专硕
审计,B类,单科=100分,2015,35,专硕
审计,B类,单科>100分,2015,70,专硕
审计,B类,总分,2016,155,专硕
审计,B类,单科=100分,2016,34,专硕
审计,B类,单科>100分,2016,68,专硕
审计,B类,总分,2017,160,专硕
审计,B类,单科=100分,2017,37,专硕
审计,B类,单科>100分,2017,74,专硕
审计,B类,总分,2018,155,专硕
审计,B类,单科=100分,2018,37,专硕
审计,B类,单科>100分,2018,74,专硕
审计,B类,总分,2019,160,专硕
审计,B类,单科=100分,2019,37,专硕
审计,B类,单科>100分,2019,74,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2010,315,专硕
