subject,region,grade_class,year,grade,degree_type
哲学,A类,总分,2005,310,学硕
哲学,A类,单科=100分,2005,47,学硕
哲学,A类,单科>100分,2005,71,学硕
哲学,B类,总分,2005,305,学硕
哲学,B类,单科=100分,2005,45,学硕
哲学,B类,单科>100分,2005,68,学硕
哲学,A类,总分,2006,305,学硕
哲学,A类,单科=100分,2006,46,学硕
哲学,A类,单科>100分,2006,69,学硕
哲学,B类,总分,2006,300,学硕
哲学,B类,单科=100分,2006,44,学硕
哲学,B类,单科>100分,2006,66,学硕
哲学,A类,总分,2007,305,学硕
哲学,A类,单科=100分,2007,46,学硕
哲学,A类,单科>100分,2007,69,学硕
哲学,B类,总分,2007,300,学硕
哲学,B类,单科=100分,2007,44,学硕
哲学,B类,单科>100分,2007,66,学硕
哲学,A类,总分,2008,295,学硕
哲学,A类,单科=100分,2008,41,学硕
哲学,A类,单科>100分,2008,62,学硕
哲学,B类,总分,2008,285,学硕
哲学,B类,单科=100分,2008,37,学硕
哲学,B类,单科>100分,2008,56,学硕
哲学,A类,总分,2009,280,学硕
哲学,A类,单科=100分,2009,37,学硕
哲学,A类,单科>100分,2009,56,学硕
哲学,B类,总分,2009,270,学硕
哲学,B类,单科=100分,2009,34,学硕
哲学,B类,单科>100分,2009,51,学硕
哲学,A类,总分,2010,270,学硕
哲学,A类,单科=100分,2010,36,学硕
哲学,A类,单科>100分,2010,54,学硕
哲学,B类,总分,2010,260,学硕
哲学,B类,单科=100分,2010,33,学硕
哲学,B类,单科>100分,2010,50,学硕
哲学,A类,总分,2011,295,学硕
哲学,A类,单科=100分,2011,40,学硕
哲学,A类,单科>100分,2011,60,学硕
哲学,B类,总分,2011,285,学硕
哲学,B类,单科=100分,2011,38,学硕
哲学,B类,单科>100分,2011,57,学硕
哲学,A类,总分,2012,290,学硕
哲学,A类,单科=100分,2012,38,学硕
哲学,A类,单科>100分,2012,57,学硕
哲学,B类,总分,2012,280,学硕
哲学,B类,单科=100分,2012,35,学硕
哲学,B类,单科>100分,2012,53,学硕
哲学,A类,总分,2013,280,学硕
哲学,A类,单科=100分,2013,38,学硕
哲学,A类,单科>100分,2013,57,学硕
哲学,B类,总分,2013,270,学硕
哲学,B类,单科=100分,2013,35,学硕
哲学,B类,单科>100分,2013,53,学硕
哲学,A类,总分,2014,290,学硕
哲学,A类,单科=100分,2014,40,学硕
哲学,A类,单科>100分,2014,60,学硕
哲学,B类,总分,2014,280,学硕
哲学,B类,单科=100分,2014,37,学硕
哲学,B类,单科>100分,2014,56,学硕
哲学,A类,总分,2015,280,学硕
哲学,A类,单科=100分,2015,37,学硕
哲学,A类,单科>100分,2015,56,学硕
哲学,B类,总分,2015,270,学硕
哲学,B类,单科=100分,2015,34,学硕
哲学,B类,单科>100分,2015,51,学硕
哲学,A类,总分,2016,280,学硕
哲学,A类,单科=100分,2016,36,学硕
哲学,A类,单科>100分,2016,54,学硕
哲学,B类,总分,2016,270,学硕
哲学,B类,单科=100分,2016,33,学硕
哲学,B类,单科>100分,2016,50,学硕
哲学,A类,总分,2017,285,学硕
哲学,A类,单科=100分,2017,38,学硕
哲学,A类,单科>100分,2017,57,学硕
哲学,B类,总分,2017,275,学硕
哲学,B类,单科=100分,2017,35,学硕
哲学,B类,单科>100分,2017,53,学硕
哲学,A类,总分,2018,280,学硕
哲学,A类,单科=100分,2018,39,学硕
哲学,A类,单科>100分,2018,59,学硕
哲学,B类,总分,2018,270,学硕
哲学,B类,单科=100分,2018,36,学硕
哲学,B类,单科>100分,2018,54,学硕
哲学,A类,总分,2019,295,学硕
哲学,A类,单科=100分,2019,42,学硕
哲学,A类,单科>100分,2019,63,学硕
哲学,B类,总分,2019,285,学硕
哲学,B类,单科=100分,2019,39,学硕
哲学,B类,单科>100分,2019,59,学硕
哲学,A类,总分,2020,300,学硕
哲学,A类,单科=100分,2020,42,学硕
哲学,A类,单科>100分,2020,63,学硕
哲学,B类,总分,2020,290,学硕
哲学,B类,单科=100分,2020,39,学硕
哲学,B类,单科>100分,2020,59,学硕
经济学,A类,总分,2005,335,学硕
经济学,A类,单科=100分,2005,53,学硕
经济学,A类,单科>100分,2005,80,学硕
经济学,B类,总分,2005,325,学硕
经济学,B类,单科=100分,2005,51,学硕
经济学,B类,单科>100分,2005,77,学硕
经济学,A类,总分,2006,340,学硕
经济学,A类,单科=100分,2006,56,学硕
经济学,A类,单科>100分,2006,84,学硕
经济学,B类,总分,2006,330,学硕
经济学,B类,单科=100分,2006,54,学硕
经济学,B类,单科>100分,2006,81,学硕
经济学,A类,总分,2007,325,学硕
经济学,A类,单科=100分,2007,53,学硕
经济学,A类,单科>100分,2007,80,学硕
经济学,B类,总分,2007,320,学硕
经济学,B类,单科=100分,2007,51,学硕
经济学,B类,单科>100分,2007,77,学硕
经济学,A类,总分,2008,335,学硕
经济学,A类,单科=100分,2008,54,学硕
经济学,A类,单科>100分,2008,81,学硕
经济学,B类,总分,2008,325,学硕
经济学,B类,单科=100分,2008,50,学硕
经济学,B类,单科>100分,2008,75,学硕
经济学,A类,总分,2009,315,学硕
经济学,A类,单科=100分,2009,47,学硕
经济学,A类,单科>100分,2009,71,学硕
经济学,B类,总分,2009,305,学硕
经济学,B类,单科=100分,2009,44,学硕
经济学,B类,单科>100分,2009,66,学硕
经济学,A类,总分,2010,330,学硕
经济学,A类,单科=100分,2010,46,学硕
经济学,A类,单科>100分,2010,69,学硕
经济学,B类,总分,2010,320,学硕
经济学,B类,单科=100分,2010,43,学硕
经济学,B类,单科>100分,2010,65,学硕
经济学,A类,总分,2011,350,学硕
经济学,A类,单科=100分,2011,55,学硕
经济学,A类,单科>100分,2011,83,学硕
经济学,B类,总分,2011,340,学硕
经济学,B类,单科=100分,2011,53,学硕
经济学,B类,单科>100分,2011,80,学硕
经济学,A类,总分,2012,340,学硕
经济学,A类,单科=100分,2012,50,学硕
经济学,A类,单科>100分,2012,75,学硕
经济学,B类,总分,2012,330,学硕
经济学,B类,单科=100分,2012,47,学硕
经济学,B类,单科>100分,2012,71,学硕
经济学,A类,总分,2013,340,学硕
经济学,A类,单科=100分,2013,49,学硕
经济学,A类,单科>100分,2013,74,学硕
经济学,B类,总分,2013,330,学硕
经济学,B类,单科=100分,2013,46,学硕
经济学,B类,单科>100分,2013,69,学硕
经济学,A类,总分,2014,330,学硕
经济学,A类,单科=100分,2014,45,学硕
经济学,A类,单科>100分,2014,68,学硕
经济学,B类,总分,2014,320,学硕
经济学,B类,单科=100分,2014,42,学硕
经济学,B类,单科>100分,2014,63,学硕
经济学,A类,总分,2015,330,学硕
经济学,A类,单科=100分,2015,45,学硕
经济学,A类,单科>100分,2015,68,学硕
经济学,B类,总分,2015,320,学硕
经济学,B类,单科=100分,2015,42,学硕
经济学,B类,单科>100分,2015,63,学硕
经济学,A类,总分,2016,325,学硕
